[INFO] [1776660939.874704633] [lidar_node]: LIDAR Node Started (listening on /gazebo_ros_lidar/out, publishing /scan)
[INFO] [1776662606.405182536] [lidar_node]: LIDAR update #3200: ranges=360, first_range=0.53
[INFO] [1776662615.351203152] [lidar_node]: LIDAR update #3220: ranges=360, first_range=0.54
[INFO] [1776662622.930239824] [lidar_node]: LIDAR update #3240: ranges=360, first_range=0.52
[INFO] [1776662632.089635907] [lidar_node]: LIDAR update #3260: ranges=360, first_range=0.54
[INFO] [1776662641.558104272] [lidar_node]: LIDAR update #3280: ranges=360, first_range=0.53
[INFO] [1776662651.304595490] [lidar_node]: LIDAR update #3300: ranges=360, first_range=0.53
[INFO] [1776662660.439312740] [lidar_node]: LIDAR update #3320: ranges=360, first_range=0.53
[INFO] [1776662669.059028970] [lidar_node]: LIDAR update #3340: ranges=360, first_range=0.53
[INFO] [1776662677.510226744] [lidar_node]: LIDAR update #3360: ranges=360, first_range=0.54
[INFO] [1776662687.061203435] [lidar_node]: LIDAR update #3380: ranges=360, first_range=0.53
[INFO] [1776662696.917483512] [lidar_node]: LIDAR update #3400: ranges=360, first_range=0.53
[INFO] [1776662706.518523196] [lidar_node]: LIDAR update #3420: ranges=360, first_range=0.53
[INFO] [1776662716.300884875] [lidar_node]: LIDAR update #3440: ranges=360, first_range=0.54
[INFO] [1776662729.556947948] [lidar_node]: LIDAR update #3460: ranges=360, first_range=0.53
[INFO] [1776662741.497661957] [lidar_node]: LIDAR update #3480: ranges=360, first_range=0.54
[INFO] [1776662754.329697903] [lidar_node]: LIDAR update #3500: ranges=360, first_range=0.53
[INFO] [1776662764.495459383] [lidar_node]: LIDAR update #3520: ranges=360, first_range=0.53
[INFO] [1776662776.309608359] [lidar_node]: LIDAR update #3540: ranges=360, first_range=0.54
[INFO] [1776662791.614363133] [lidar_node]: LIDAR update #3560: ranges=360, first_range=0.53
[INFO] [1776662805.005914500] [lidar_node]: LIDAR update #3580: ranges=360, first_range=0.52
[INFO] [1776662820.220158871] [lidar_node]: LIDAR update #3600: ranges=360, first_range=0.54
[INFO] [1776662830.441664215] [lidar_node]: LIDAR update #3620: ranges=360, first_range=0.53
[INFO] [1776662841.457575347] [lidar_node]: LIDAR update #3640: ranges=360, first_range=0.52
[INFO] [1776662853.653725835] [lidar_node]: LIDAR update #3660: ranges=360, first_range=0.53
[INFO] [1776662862.388676572] [lidar_node]: LIDAR update #3680: ranges=360, first_range=0.53
[INFO] [1776662873.135460944] [lidar_node]: LIDAR update #3700: ranges=360, first_range=0.54
[INFO] [1776662883.462923657] [lidar_node]: LIDAR update #3720: ranges=360, first_range=0.52
[INFO] [1776662893.743728426] [lidar_node]: LIDAR update #3740: ranges=360, first_range=0.53
[INFO] [1776662906.082391864] [lidar_node]: LIDAR update #3760: ranges=360, first_range=0.52
[INFO] [1776662916.605597063] [lidar_node]: LIDAR update #3780: ranges=360, first_range=0.53
[INFO] [1776662926.491995534] [lidar_node]: LIDAR update #3800: ranges=360, first_range=0.54
[INFO] [1776662938.565544428] [lidar_node]: LIDAR update #3820: ranges=360, first_range=0.52
